"prov.orig","prov.comp","temp","cup","elpd"
"IN","AB",30,"100",-7.28153223642647
"IPU","AB",30,"100",-5.18804303076651
"NB2","AB",30,"100",-5.16437705161997
"ON","AB",30,"100",-5.19284727760342
"QC","AB",30,"100",-5.01888814180272
"IN","IN",30,"100",-4.92204387389462
"IPU","IN",30,"100",-3.74420597138338
"NB2","IN",30,"100",-5.42695095856705
"ON","IN",30,"100",-2.95782663191376
"QC","IN",30,"100",-3.49294077150716
"IN","IPU",30,"100",-6.05188252808238
"IPU","IPU",30,"100",-3.40567065625778
"NB2","IPU",30,"100",-4.6204266722406
"ON","IPU",30,"100",-4.26786233212216
"QC","IPU",30,"100",-4.17562772624586
"IN","NB2",30,"100",-7.31075703244295
"IPU","NB2",30,"100",-8.04676495531162
"NB2","NB2",30,"100",-3.48465928229242
"ON","NB2",30,"100",-9.02519603941144
"QC","NB2",30,"100",-8.11621847722524
"IN","ON",30,"100",-7.03232995880343
"IPU","ON",30,"100",-7.05952220759318
"NB2","ON",30,"100",-5.62934292397699
"ON","ON",30,"100",-4.10443078369474
"QC","ON",30,"100",-6.98562485231001
"IN","QC",30,"100",-6.73413369934765
"IPU","QC",30,"100",-6.73716025523404
"NB2","QC",30,"100",-5.80137196591592
"ON","QC",30,"100",-7.86370513759387
"QC","QC",30,"100",-3.20724654782798
"NB2","AB",35,"100",-5.78367633583607
"ON","AB",35,"100",-6.2009465352784
"QC","AB",35,"100",-5.54882957727809
"NB2","IN",35,"100",-5.13803338625917
"ON","IN",35,"100",-5.17732960062475
"QC","IN",35,"100",-4.45910249487215
"NB2","IPU",35,"100",-6.65817379946644
"ON","IPU",35,"100",-5.09493740011493
"QC","IPU",35,"100",-5.24315139684366
"NB2","NB2",35,"100",-6.89182249512458
"ON","NB2",35,"100",-10.8992575407198
"QC","NB2",35,"100",-9.74809483688468
"NB2","ON",35,"100",-6.25390342978006
"ON","ON",35,"100",-5.20412016378056
"QC","ON",35,"100",-6.39754603511858
"NB2","QC",35,"100",-7.24852092583328
"ON","QC",35,"100",-7.25762578444711
"QC","QC",35,"100",-3.91336970181024
"IPU","AB",5,"101",-5.24355356978737
"IPU","IN",5,"101",-5.14787171830536
"IPU","IPU",5,"101",-4.02942026679071
"IPU","NB2",5,"101",-8.1895105955754
"IPU","ON",5,"101",-7.53048929698036
"IPU","QC",5,"101",-8.84048383788645
"NB2","AB",10,"101",-5.60209768442656
"ON","AB",10,"101",-6.73976361232096
"QC","AB",10,"101",-5.67447211526486
"NB2","IN",10,"101",-10.1384097182825
"ON","IN",10,"101",-11.9295544782047
"QC","IN",10,"101",-8.40547245461685
"NB2","IPU",10,"101",-6.24983818830615
"ON","IPU",10,"101",-6.86158680220051
"QC","IPU",10,"101",-6.18490879765287
"NB2","NB2",10,"101",-3.37922064919547
"ON","NB2",10,"101",-6.10720748340675
"QC","NB2",10,"101",-6.47307469062625
"NB2","ON",10,"101",-4.97401934265191
"ON","ON",10,"101",-5.48866484183165
"QC","ON",10,"101",-7.04143540974398
"NB2","QC",10,"101",-5.13496914201899
"ON","QC",10,"101",-6.70729198769333
"QC","QC",10,"101",-3.46604204833359
"IPU","AB",15,"101",-7.24315348833482
"IPU","IN",15,"101",-9.13990338994507
"IPU","IPU",15,"101",-6.32302428247422
"IPU","NB2",15,"101",-12.7249068728732
"IPU","ON",15,"101",-14.2321103843873
"IPU","QC",15,"101",-14.2392752907386
"IN","AB",20,"101",-5.5016396667069
"IPU","AB",20,"101",-5.07534383275521
"NB2","AB",20,"101",-5.96547626480706
"ON","AB",20,"101",-5.5016396667069
"QC","AB",20,"101",-6.48793457246029
"IN","IN",20,"101",-3.74532170151179
"IPU","IN",20,"101",-5.57964764629937
